Comm_name,t_switch,t_target,M0,n_present,n_producers,output,P_final,glv1_failed,glv2_failed
comm_643,10.567054372133809,10.557043785114535,12.964688325101683,11,2,2.590375091028162,2.590375091028163,FALSE,FALSE
comm_644,9.725526551279081,9.853008292886846,6.095139995555669,10,3,3.1447340091052407,3.144734009105238,FALSE,FALSE
comm_645,10.47541311939382,10.496988452156184,11.74647917819924,12,4,8.399465329871143,8.39946533,FALSE,FALSE
comm_646,10.466645074110678,10.167060448675683,11.055644827688656,8,4,8.075378992977086,8.075378992977084,FALSE,FALSE
comm_647,10.522735963860596,10.345029032240177,13.122573030158879,11,5,13.33075662691537,13.330756626915376,FALSE,FALSE
comm_648,9.921230853380916,9.779181022287977,8.861924060299875,8,5,17.977249949776215,17.977249949776215,FALSE,FALSE
comm_649,10.640124714143115,10.658958383589969,10.114611688551728,9,2,2.5237275764699842,2.5237275764699842,FALSE,FALSE
comm_650,11.453927953576011,11.528652688757784,24.294441058122235,11,4,11.888671500732736,11.888671500732741,FALSE,FALSE
comm_651,11.437261495268045,11.627090516520736,17.73700427735755,10,2,4.432215743438508,4.4322157434385065,FALSE,FALSE
comm_652,11.103369725384201,11.057948602279614,9.672013996801178,8,5,10.142134146415376,10.142134146415383,FALSE,FALSE
