Comm_name,t_switch,M0,n_present,n_producers,output,P_final,glv1_failed,glv2_failed
comm_255,8.793950753224651,3.0504614665246166,9,4,11.708903390505446,11.708903390505448,FALSE,FALSE
comm_256,9.762894548184075,3.0504614665246166,12,4,4.770463939100101,4.770463939100102,FALSE,FALSE
comm_257,9.96678342,3.0504614665246166,11,3,1.0282741454052826,1.0282741454052826,FALSE,FALSE
comm_258,9.613216433850935,3.0504614665246166,11,6,5.226062047970591,5.226062048,FALSE,FALSE
comm_259,10.57025365871494,3.0504614665246166,9,3,2.1937117503184314,2.1937117503184314,FALSE,FALSE
comm_260,12.138587953444237,3.0504614665246166,11,3,1.4480907384987804,1.448090738498781,FALSE,FALSE
comm_261,10.240386850093984,3.0504614665246166,11,6,4.374430924242254,4.3744309242422545,FALSE,FALSE
comm_262,8.809335722446376,3.0504614665246166,8,2,2.2575011826744804,2.257501182674481,FALSE,FALSE
comm_263,9.612318023,3.0504614665246166,9,5,5.413283906064616,5.413283906064616,FALSE,FALSE
comm_264,10.469413542098351,3.0504614665246166,8,5,8.466399169402425,8.466399169402425,FALSE,FALSE
